date,symbol,close,currency
2026-05-27,510300,3.80,CNY
2026-05-28,510300,3.90,CNY
2026-05-29,510300,4.20,CNY
2026-06-01,510300,4.868,CNY
2026-06-02,510300,4.936,CNY
2026-06-03,510300,4.965,CNY
2026-06-04,510300,4.926,CNY
2026-06-05,510300,4.843,CNY
2026-06-08,510300,4.739,CNY
2026-06-09,510300,4.826,CNY
2026-06-10,510300,4.784,CNY
2026-05-27,513050,0.95,CNY
2026-05-28,513050,0.98,CNY
2026-05-29,513050,1.04,CNY
2026-06-01,513050,1.118,CNY
2026-06-02,513050,1.183,CNY
2026-06-03,513050,1.154,CNY
2026-06-04,513050,1.134,CNY
2026-06-05,513050,1.129,CNY
2026-06-08,513050,1.097,CNY
2026-06-09,513050,1.108,CNY
2026-06-10,513050,1.102,CNY
2026-05-27,09988,70.00,HKD
2026-05-28,09988,72.50,HKD
2026-05-29,09988,79.00,HKD
2026-06-01,09988,122.8,HKD
2026-06-02,09988,130.89999,HKD
2026-06-03,09988,126.6,HKD
2026-06-04,09988,123.5,HKD
2026-06-05,09988,122.4,HKD
2026-06-08,09988,118.8,HKD
2026-06-09,09988,117.1,HKD
2026-06-10,09988,113.5,HKD
2026-05-27,002594,210.00,CNY
2026-05-28,002594,218.00,CNY
2026-05-29,002594,235.00,CNY
2026-06-01,002594,93.65,CNY
2026-06-02,002594,96.76,CNY
2026-06-03,002594,94.82,CNY
2026-06-04,002594,93.44,CNY
2026-06-05,002594,93.01,CNY
2026-06-08,002594,91.19,CNY
2026-06-09,002594,91.89,CNY
2026-06-10,002594,90.31,CNY
2026-05-27,161226,1.10,CNY
2026-05-28,161226,1.14,CNY
2026-05-29,161226,1.22,CNY
2026-06-01,161226,2.175,CNY
2026-06-02,161226,2.246,CNY
2026-06-03,161226,2.187,CNY
2026-06-04,161226,2.154,CNY
2026-06-05,161226,2.111,CNY
2026-06-08,161226,1.969,CNY
2026-06-09,161226,1.978,CNY
2026-06-10,161226,1.882,CNY
2026-05-27,518880,5.10,CNY
2026-05-28,518880,5.20,CNY
2026-05-29,518880,5.45,CNY
2026-06-01,518880,9.344,CNY
2026-06-02,518880,9.41,CNY
2026-06-03,518880,9.281,CNY
2026-06-04,518880,9.29,CNY
2026-06-05,518880,9.252,CNY
2026-06-08,518880,8.953,CNY
2026-06-09,518880,9.005,CNY
2026-06-10,518880,8.736,CNY
2026-05-27,511010,106.00,CNY
2026-05-28,511010,106.40,CNY
2026-05-29,511010,107.20,CNY
2026-06-01,511010,141.504,CNY
2026-06-02,511010,141.48,CNY
2026-06-03,511010,141.464,CNY
2026-06-04,511010,141.504,CNY
2026-06-05,511010,141.5,CNY
2026-06-08,511010,141.409,CNY
2026-06-09,511010,141.345,CNY
2026-06-10,511010,141.278,CNY
2026-06-01,601288,6.49,CNY
2026-06-02,601288,6.45,CNY
2026-06-03,601288,6.36,CNY
2026-06-04,601288,6.3,CNY
2026-06-05,601288,6.36,CNY
2026-06-08,601288,6.57,CNY
2026-06-09,601288,6.6,CNY
2026-06-10,601288,6.71,CNY
2026-06-01,159361,1.304,CNY
2026-06-02,159361,1.322,CNY
2026-06-03,159361,1.329,CNY
2026-06-04,159361,1.323,CNY
2026-06-05,159361,1.3,CNY
2026-06-08,159361,1.267,CNY
2026-06-09,159361,1.296,CNY
2026-06-10,159361,1.279,CNY
2026-06-01,513120,1.097,CNY
2026-06-02,513120,1.08,CNY
2026-06-03,513120,1.039,CNY
2026-06-04,513120,1.03,CNY
2026-06-05,513120,1.024,CNY
2026-06-08,513120,0.986,CNY
2026-06-09,513120,0.98,CNY
2026-06-10,513120,0.991,CNY
2026-06-01,159995,2.357,CNY
2026-06-02,159995,2.396,CNY
2026-06-03,159995,2.483,CNY
2026-06-04,159995,2.53,CNY
2026-06-05,159995,2.403,CNY
2026-06-08,159995,2.293,CNY
2026-06-09,159995,2.41,CNY
2026-06-10,159995,2.387,CNY
2026-06-01,00700,436.0,HKD
2026-06-02,00700,481.60001,HKD
2026-06-03,00700,466.39999,HKD
2026-06-04,00700,459.0,HKD
2026-06-05,00700,453.20001,HKD
2026-06-08,00700,446.39999,HKD
2026-06-09,00700,453.20001,HKD
2026-06-10,00700,465.60001,HKD
2026-06-01,603993,18.42,CNY
2026-06-02,603993,19.74,CNY
2026-06-03,603993,19.89,CNY
2026-06-04,603993,18.74,CNY
2026-06-05,603993,18.19,CNY
2026-06-08,603993,16.89,CNY
2026-06-09,603993,17.05,CNY
2026-06-10,603993,16.79,CNY
2026-06-01,000426,39.69,CNY
2026-06-02,000426,42.97,CNY
2026-06-03,000426,42.08,CNY
2026-06-04,000426,39.89,CNY
2026-06-05,000426,38.08,CNY
2026-06-08,000426,35.06,CNY
2026-06-09,000426,36.13,CNY
2026-06-10,000426,35.41,CNY
2026-06-01,601899,30.19,CNY
2026-06-02,601899,31.58,CNY
2026-06-03,601899,31.27,CNY
2026-06-04,601899,30.34,CNY
2026-06-05,601899,29.63,CNY
2026-06-08,601899,28.05,CNY
2026-06-09,601899,28.47,CNY
2026-06-10,601899,27.7,CNY
2026-06-01,513500,2.625,CNY
2026-06-02,513500,2.611,CNY
2026-06-03,513500,2.602,CNY
2026-06-04,513500,2.566,CNY
2026-06-05,513500,2.568,CNY
2026-06-08,513500,2.515,CNY
2026-06-09,513500,2.552,CNY
2026-06-10,513500,2.515,CNY
2026-06-01,159941,1.764,CNY
2026-06-02,159941,1.735,CNY
